Profile,,,wipe_tower_extruder,Wipe tower extruder,coInt,The extruder to use when printing perimeter of the wipe tower. Set to 0 to use the one that is available (non-soluble would be preferred).,Deleted
Build Time : 2024-11-21 at 09:25:32 UTC,Commit :7d94698f40f53400c7a7b4b22e638e3a09ee0660,,,,,,,
Field,Main Group,Sub Group,Key,Name,Type,Description,Change Info,
Filament,Filament,Basic information,required_nozzle_HRC,Required nozzle HRC,coInts,Minimum HRC of nozzle required to print the filament. Zero means no checking of nozzle's HRC.,Unchanged,
Filament,Filament,Basic information,temperature_vitrification,Softening temperature,coInts,The material softens at this temperature; so when the bed temperature is equal to or greater than it; it's highly recommended to open the front door and/or remove the upper glass to avoid cloggings.,Unchanged,
Filament,Filament,Bed temperature,cool_plate_temp,Other layers,coInts,Bed temperature for layers except the initial one. Value 0 means the filament does not support to print on the Cool Plate,Unchanged,
Filament,Filament,Bed temperature,cool_plate_temp_initial_layer,Initial layer,coInts,Bed temperature of the initial layer. Value 0 means the filament does not support to print on the Cool Plate,Unchanged,
Filament,Filament,Bed temperature,customized_plate_temp,Other layers,coInts,Bed temperature for layers except the initial one. Value 0 means the filament does not support to print on the Customized Plate,Added,
Filament,Filament,Bed temperature,customized_plate_temp_initial_layer,Initial layer,coInts,Bed temperature of the initial layer. Value 0 means the filament does not support to print on the Customized Plate,Added,
Filament,Filament,Bed temperature,eng_plate_temp,Other layers,coInts,Bed temperature for layers except the initial one. Value 0 means the filament does not support to print on the Engineering Plate,Unchanged,
Filament,Filament,Bed temperature,eng_plate_temp_initial_layer,Initial layer,coInts,Bed temperature of the initial layer. Value 0 means the filament does not support to print on the Engineering Plate,Unchanged,
Filament,Filament,Bed temperature,epoxy_resin_plate_temp,Other layers,coInts,Bed temperature for layers except the initial one. Value 0 means the filament does not support to print on the Epoxy Resin Plate,Unchanged,
Filament,Filament,Bed temperature,epoxy_resin_plate_temp_initial_layer,Initial layer,coInts,Bed temperature of the initial layer. Value 0 means the filament does not support to print on the Epoxy Resin Plate,Unchanged,
Filament,Filament,Bed temperature,hot_plate_temp,Other layers,coInts,Bed temperature for layers except the initial one. Value 0 means the filament does not support to print on the High Temp Plate,Unchanged,
Filament,Filament,Bed temperature,hot_plate_temp_initial_layer,Initial layer,coInts,Bed temperature of the initial layer. Value 0 means the filament does not support to print on the High Temp Plate,Unchanged,
Filament,Filament,Bed temperature,textured_plate_temp,Other layers,coInts,Bed temperature for layers except the initial one. Value 0 means the filament does not support to print on the Textured PEI Plate,Unchanged,
Filament,Filament,Bed temperature,textured_plate_temp_initial_layer,Initial layer,coInts,Bed temperature of the initial layer. Value 0 means the filament does not support to print on the Textured PEI Plate,Unchanged,
Filament,Filament,Print chamber temperature,activate_chamber_temp_control,Activate temperature control,coBools,"Enable this option for chamber temperature control. An M191 command will be added before ""machine_start_gcode"";G-code commands: M141/M191 S(0-255)",Unchanged,
Filament,Filament,Print chamber temperature,chamber_temperature,Chamber temperature,coInts,Higher chamber temperature can help suppress or reduce warping and potentially lead to higher interlayer bonding strength for high temperature materials like ABS; ASA; PC; PA and so on.At the same time; the air filtration of ABS and ASA will get worse.While for PLA; PETG; TPU; PVA and other low temperature materials;the actual chamber temperature should not be high to avoid cloggings; so 0 which stands for turning off is highly recommended,Unchanged,
Filament,Filament,Print temperature,material_flow_dependent_temperature,Auto Temperature,coBools,Change the temperature for each layer automatically with the average flow speed of that layer.,Changed (coBool->coBools),
Filament,Filament,Print temperature,material_flow_temp_graph,Flow Temperature Graph,coString,Flow Temperature Graph,Unchanged,
Filament,Filament,Print temperature,nozzle_temperature,Other layers,coInts,Nozzle temperature for layers after the initial one,Unchanged,
Filament,Filament,Print temperature,nozzle_temperature_initial_layer,Initial layer,coInts,Nozzle temperature to print initial layer when using this filament,Unchanged,
Filament,Filament,Volumetric speed limitation,filament_max_volumetric_speed,Max volumetric speed,coFloats,This setting stands for how much volume of filament can be melted and extruded per second. Printing speed is limited by max volumetric speed; in case of too high and unreasonable speed setting. Can't be zero,Unchanged,
Filament,Multimaterial,Toolchange parameters with multi extruder MM printers,filament_multitool_ramming,Enable ramming for multitool setups,coBools,Perform ramming when using multitool printer (i.e. when the 'Single Extruder Multimaterial' in Printer Settings is unchecked). When checked; a small amount of filament is rapidly extruded on the wipe tower just before the toolchange. This option is only used when the wipe tower is enabled.,Unchanged,
Filament,Multimaterial,Toolchange parameters with multi extruder MM printers,filament_multitool_ramming_flow,Multitool ramming flow,coFloats,Flow used for ramming the filament before the toolchange.,Unchanged,
Filament,Multimaterial,Toolchange parameters with multi extruder MM printers,filament_multitool_ramming_volume,Multitool ramming volume,coFloats,The volume to be rammed before the toolchange.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_cooling_final_speed,Speed of the last cooling move,coFloats,Cooling moves are gradually accelerating towards this speed.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_cooling_initial_speed,Speed of the first cooling move,coFloats,Cooling moves are gradually accelerating beginning at this speed.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_cooling_moves,Number of cooling moves,coInts,Filament is cooled by being moved back and forth in the cooling tubes. Specify desired number of these moves.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_loading_speed,Loading speed,coFloats,Speed used for loading the filament on the wipe tower.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_loading_speed_start,Loading speed at the start,coFloats,Speed used at the very beginning of loading phase.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_ramming_parameters,Ramming parameters,coStrings,This string is edited by RammingDialog and contains ramming specific parameters.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_stamping_distance,Stamping distance measured from the center of the cooling tube,coFloats,"If set to nonzero value; filament is moved toward the nozzle between the individual cooling moves (""stamping""). This option configures how long this movement should be before the filament is retracted again.",Added,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_stamping_loading_speed,Stamping loading speed,coFloats,Speed used for stamping.,Added,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_toolchange_delay,Delay after unloading,coFloats,Time to wait after the filament is unloaded. May help to get reliable toolchanges with flexible materials that may need more time to shrink to original dimensions.,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_unloading_speed,Unloading speed,coFloats,Speed used for unloading the filament on the wipe tower (does not affect  initial part of unloading just after ramming).,Unchanged,
Filament,Multimaterial,Toolchange parameters with single extruder MM printers,filament_unloading_speed_start,Unloading speed at the start,coFloats,Speed used for unloading the tip of the filament immediately after ramming.,Unchanged,
Filament,Multimaterial,Wipe tower parameters,filament_minimal_purge_on_wipe_tower,Minimal purge on wipe tower,coFloats,After a tool change; the exact position of the newly loaded filament inside the nozzle may not be known; and the filament pressure is likely not yet stable. Before purging the print head into an infill or a sacrificial object; Creality Print will always prime this amount of material into the wipe tower to produce successive infill or sacrificial object extrusions reliably.,Unchanged,
Filament,Notes,Notes,filament_notes,Filament notes,coStrings,You can put your notes regarding the filament here.,Unchanged,
Filament,Setting Overrides,Retraction,filament_deretraction_speed,Deretraction Speed,coFloats,Speed for reloading filament into extruder. Zero means same speed with retraction,Unchanged,
Filament,Setting Overrides,Retraction,filament_long_retractions_when_cut,Long retraction when cut(experimental),coBools,Experimental feature.Retracting and cutting off the filament at a longer distance during changes to minimize purge.While this reduces flush significantly; it may also raise the risk of nozzle clogs or other printing problems.,Added,
Filament,Setting Overrides,Retraction,filament_retract_before_wipe,Retract amount before wipe,coPercents,The length of fast retraction before wipe; relative to retraction length,Unchanged,
Filament,Setting Overrides,Retraction,filament_retract_lift_above,Only lift Z above,coFloats,If you set this to a positive value; Z lift will only take place above the specified absolute Z.,Unchanged,
Filament,Setting Overrides,Retraction,filament_retract_lift_below,Only lift Z below,coFloats,If you set this to a positive value; Z lift will only take place below the specified absolute Z.,Unchanged,
Filament,Setting Overrides,Retraction,filament_retract_lift_enforce,On surfaces,coEnums,Enforce Z Hop behavior. This setting is impacted by the above settings (Only lift Z above/below).,Unchanged,
Filament,Setting Overrides,Retraction,filament_retract_restart_extra,Extra length on restart,coFloats,When the retraction is compensated after the travel move; the extruder will push this additional amount of filament. This setting is rarely needed.,Unchanged,
Filament,Setting Overrides,Retraction,filament_retract_when_changing_layer,Retract when change layer,coBools,Force a retraction when changes layer,Unchanged,
Filament,Setting Overrides,Retraction,filament_retraction_distances_when_cut,Retraction distance when cut,coFloats,Experimental feature.Retraction length before cutting off during filament change,Added,
Filament,Setting Overrides,Retraction,filament_retraction_length,Length,coFloats,Some amount of material in extruder is pulled back to avoid ooze during long travel. Set zero to disable retraction,Unchanged,
Filament,Setting Overrides,Retraction,filament_retraction_minimum_travel,Travel distance threshold,coFloats,Only trigger retraction when the travel distance is longer than this threshold,Unchanged,
Filament,Setting Overrides,Retraction,filament_retraction_speed,Retraction Speed,coFloats,Speed of retractions,Unchanged,
Filament,Setting Overrides,Retraction,filament_wipe,Wipe while retracting,coBools,Move nozzle along the last extrusion path when retracting to clean leaked material on nozzle. This can minimize blob when print new part after travel,Unchanged,
Filament,Setting Overrides,Retraction,filament_wipe_distance,Wipe Distance,coFloats,Discribe how long the nozzle will move along the last path when retracting. ;;Depending on how long the wipe operation lasts; how fast and long the extruder/filament retraction settings are; a retraction move may be needed to retract the remaining filament. ;;Setting a value in the retract amount before wipe setting below will perform any excess retraction before the wipe; else it will be performed after.,Unchanged,
Filament,Setting Overrides,Retraction,filament_z_hop,Z hop when retract,coFloats,Whenever the retraction is done; the nozzle is lifted a little to create clearance between nozzle and the print. It prevents nozzle from hitting the print when travel move. Using spiral line to lift z can prevent stringing,Unchanged,
Filament,Setting Overrides,Retraction,filament_z_hop_types,Z hop type,coEnums,Z hop type,Unchanged,
Printer,Basic information,Accessory,auxiliary_fan,Auxiliary part cooling fan,coBool,Enable this option if machine has auxiliary part cooling fan. G-code command: M106 P2 S(0-255).,Unchanged,
Printer,Basic information,Accessory,machine_LED_light_exist,Machine LED light exist,coBool,Machine LED light exist,Added,
Printer,Basic information,Accessory,machine_platform_motion_enable,Machine platform motion enable,coBool,Machine platform motion enable,Added,
Printer,Basic information,Accessory,nozzle_hrc,Nozzle HRC,coInt,The nozzle's hardness. Zero means no checking for nozzle's hardness during slicing.,Unchanged,
Printer,Basic information,Accessory,nozzle_type,Nozzle type,coEnum,The metallic material of nozzle. This determines the abrasive resistance of nozzle; and what kind of filament can be printed,Unchanged,
Printer,Basic information,Accessory,support_air_filtration,Support air filtration,coBool,Enable this if printer support air filtration;G-code command: M106 P3 S(0-255),Unchanged,
Printer,Basic information,Accessory,support_chamber_temp_control,Support control chamber temperature,coBool,This option is enabled if machine support controlling chamber temperature;G-code command: M141 S(0-255),Unchanged,
Printer,Basic information,Adaptive bed mesh,adaptive_bed_mesh_margin,Mesh margin,coFloat,This option determines the additional distance by which the adaptive bed mesh area should be expanded in the XY directions.,Added,
Printer,Basic information,Adaptive bed mesh,bed_mesh_max,Bed mesh max,coPoint,This option sets the max point for the allowed bed mesh area. Due to the probe's XY offset; most printers are unable to probe the entire bed. To ensure the probe point does not go outside the bed area; the minimum and maximum points of the bed mesh should be set appropriately. CrealityPrint ensures that adaptive_bed_mesh_min/adaptive_bed_mesh_max values do not exceed these min/max points. This information can usually be obtained from your printer manufacturer. The default setting is (99999; 99999); which means there are no limits; thus allowing probing across the entire bed.,Unchanged,
Printer,Basic information,Adaptive bed mesh,bed_mesh_min,Bed mesh min,coPoint,This option sets the min point for the allowed bed mesh area. Due to the probe's XY offset; most printers are unable to probe the entire bed. To ensure the probe point does not go outside the bed area; the minimum and maximum points of the bed mesh should be set appropriately. CrealityPrint ensures that adaptive_bed_mesh_min/adaptive_bed_mesh_max values do not exceed these min/max points. This information can usually be obtained from your printer manufacturer. The default setting is (-99999; -99999); which means there are no limits; thus allowing probing across the entire bed.,Unchanged,
Printer,Basic information,Adaptive bed mesh,bed_mesh_probe_distance,Probe point distance,coPoint,This option sets the preferred distance between probe points (grid size) for the X and Y directions; with the default being 50mm for both X and Y.,Unchanged,
Printer,Basic information,Advanced,bbl_use_printhost,Use 3rd-party print host,coBool,Allow controlling BambuLab's printer through 3rd party print hosts,Unchanged,
Printer,Basic information,Advanced,disable_m73,Disable set remaining print time,coBool,Disable generating of the M73: Set remaining print time in the final gcode,Unchanged,
Printer,Basic information,Advanced,gcode_flavor,G-code flavor,coEnum,What kind of gcode the printer is compatible with,Unchanged,
Printer,Basic information,Advanced,machine_load_filament_time,Filament load time,coFloat,Time to load new filament when switch filament. For statistics only,Unchanged,
Printer,Basic information,Advanced,machine_unload_filament_time,Filament unload time,coFloat,Time to unload old filament when switch filament. For statistics only,Unchanged,
Printer,Basic information,Advanced,pellet_modded_printer,Pellet Modded Printer,coBool,Enable this option if your printer uses pellets instead of filaments,Added,
Printer,Basic information,Advanced,printer_structure,Printer structure,coEnum,The physical arrangement and components of a printing device,Unchanged,
Printer,Basic information,Advanced,thumbnails,G-code thumbnails,coString,"Picture sizes to be stored into a .gcode and .sl1 / .sl1s files; in the following format: ""XxY; XxY; ...""",Changed (coPoints->coString),
Printer,Basic information,Advanced,time_cost,Time cost,coFloat,The printer cost per hour,Unchanged,
Printer,Basic information,Advanced,use_firmware_retraction,Use firmware retraction,coBool,This experimental setting uses G10 and G11 commands to have the firmware handle the retraction. This is only supported in recent Marlin.,Unchanged,
Printer,Basic information,Advanced,use_relative_e_distances,Use relative E distances,coBool,"Relative extrusion is recommended when using ""label_objects"" option.Some extruders work better with this option unckecked (absolute extrusion mode). Wipe tower is only compatible with relative mode. It is recommended on most printers. Default is checked",Unchanged,
Printer,Basic information,Cooling Fan,fan_kickstart,Fan kick-start time,coFloat,Emit a max fan speed command for this amount of seconds before reducing to target speed to kick-start the cooling fan.;This is useful for fans where a low PWM/power may be insufficient to get the fan started spinning from a stop; or to get the fan up to speed faster.;Set to 0 to deactivate.,Unchanged,
Printer,Basic information,Cooling Fan,fan_speedup_overhangs,Only overhangs,coBool,Will only take into account the delay for the cooling of overhangs.,Unchanged,
